Tubaria romagnesiana
Tuber aestivum
Tuber borchii
Tuber brumale
Tuber excavatum
Tuber fulgens
Tuber macrosporum
Tuber magnatum
Tuber melanosporum
Tuber mesentericum
Tuber nitidum
Tuber panniferum
Tubifera ferruginosa
Tulostoma brumale
Tulostoma fimbriatum
Tylopilus felleus
Typhrasa gossypina
Typhula contorta
Typhula culmigena
Typhula fistulosa
Verpa bohemica
Verpa digitaliformis
Vibrissea truncorum
Volvopluteus gloiocephalus
Xerocomellus chrysenteron
Xylaria carpophila
Xylaria hypoxylon
Xylaria longipes
Xylaria polymorpha
